_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
1,4153867,2017,1990,2023,TCHC,15,Don Valley West,3179 YONGE ST,5,110,2023-07-19,88,88,0,48,2,2,3,1,3,2,3,3,3,2,N/A,3,3,3,3,3,2,2,3,3,2,N/A,3,2,3,2,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,N1525,43.7273367741,-79.4020576636,312675.228,4842824.244
2,4154705,2017,1986,2023,TCHC,18,Willowdale,5430 YONGE ST,14,239,2023-10-06,89,89,0,45,3,2,N/A,2,3,3,N/A,3,3,3,N/A,N/A,3,3,3,3,2,3,3,3,2,N/A,3,1,3,2,3,2,2,3,3,2,3,3,1,2,3,3,2,3,2,3,3,3,3,1,3,3,3,3,N1824,43.7759712605,-79.4152224497,311609.151,4848226.096
3,4154716,2017,1970,2023,PRIVATE,18,Willowdale,5900 YONGE ST,13,233,2023-08-16,97,97,0,45,3,3,3,3,3,2,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,N/A,3,2,N/A,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1822,43.786291194,-79.417827386,311398.042,4849373.379
4,4154718,2017,1963,2023,PRIVATE,18,Willowdale,6000 YONGE ST,18,265,2023-09-18,97,97,0,45,3,2,2,N/A,3,3,3,3,3,3,3,N/A,3,3,3,3,2,N/A,3,3,3,N/A,N/A,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1822,43.7883911434,-79.4180400688,311380.957,4849605.708
5,4154728,2017,1968,2023,PRIVATE,18,Willowdale,6210 YONGE ST,7,83,2023-09-08,93,93,0,42,3,3,2,N/A,3,2,3,3,3,2,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,2,3,N/A,3,3,3,3,3,2,3,N/A,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3,3,N1822,43.7939825101,-79.4198227886,311236.874,4850226.759
6,4154272,,1966,2023,PRIVATE,07,Humber River-Black Creek,90 YORK GATE BLVD,4,40,2023-10-27,86,86,0,43,3,3,N/A,N/A,3,2,1,1,3,2,3,N/A,3,3,3,3,2,N/A,3,3,N/A,N/A,N/A,1,1,3,3,3,2,3,3,3,3,3,2,1,3,3,2,2,3,3,3,3,3,3,3,3,3,3,W0724,43.7610772976,-79.5211616748,303080.68,4846568.193
7,4154273,2017,1965,2023,PRIVATE,07,Humber River-Black Creek,100 YORK GATE BLVD,11,133,2023-10-31,85,85,0,46,3,2,2,2,3,2,3,3,2,2,N/A,N/A,3,3,2,3,2,N/A,3,2,2,N/A,3,2,3,2,3,3,3,2,3,2,3,2,2,2,3,3,2,3,3,3,3,3,3,2,3,2,3,3,W0724,43.7621440095,-79.5199371956,303179.301,4846686.674
8,4154732,2017,1970,2023,PRIVATE,15,Don Valley West,740 YORK MILLS RD,19,137,2023-08-20,97,97,0,45,3,3,3,N/A,3,3,3,3,3,3,N/A,N/A,N/A,3,3,3,3,3,3,3,2,N/A,3,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1522,43.753559279,-79.362054281,315892.973,4845742.888
9,4156580,2017,1967,2023,PRIVATE,16,Don Valley East,1200 YORK MILLS RD,16,222,2023-07-17,90,90,0,41,3,3,N/A,N/A,N/A,3,2,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,2,N/A,N/A,N/A,3,3,3,2,2,2,3,3,3,2,3,3,3,1,2,3,3,3,3,3,3,3,2,1,1,3,N1622,43.759658618,-79.3350153122,318069.302,4846423.49
10,4156579,2017,1967,2023,PRIVATE,16,Don Valley East,1202 YORK MILLS RD,22,219,2023-08-03,85,85,0,41,3,N/A,2,N/A,2,2,2,3,N/A,3,N/A,N/A,3,3,3,3,2,N/A,N/A,3,1,N/A,N/A,1,3,2,3,2,2,2,2,3,3,3,3,3,3,1,2,1,2,3,3,3,3,3,3,3,3,3,N1622,43.7606174266,-79.3350540559,318065.974,4846530.005
11,4154927,2017,1963,2023,PRIVATE,16,Don Valley East,1210 YORK MILLS RD,10,91,2023-08-02,91,91,0,43,3,2,1,N/A,3,3,3,3,2,3,N/A,N/A,3,3,2,3,3,N/A,3,2,N/A,N/A,N/A,2,3,2,3,3,2,2,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,N1622,43.759908428,-79.3335295503,318188.883,4846451.482
12,4154926,2017,1964,2023,PRIVATE,16,Don Valley East,1216 YORK MILLS RD,8,65,2023-07-17,95,95,0,46,3,3,2,3,3,2,3,3,2,3,N/A,3,3,3,3,3,3,N/A,3,3,3,N/A,N/A,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1622,43.7601779836,-79.3325640814,318266.564,4846481.585
13,5294330,2023,2023,2023,PRIVATE,16,Don Valley East,1225 YORK MILLS RD,12,140,2023-10-26,96,96,0,45,3,3,3,3,3,3,3,3,N/A,3,N/A,3,3,2,3,3,N/A,N/A,3,3,3,N/A,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,1,3,3,N1625,,,318396.216,4846414.819
14,4154917,2017,1965,2023,PRIVATE,16,Don Valley East,1300 YORK MILLS RD,8,112,2023-10-08,88,88,0,46,3,1,1,N/A,3,3,2,3,3,2,3,N/A,3,2,3,3,3,2,3,2,2,N/A,N/A,2,3,2,3,2,2,2,3,3,3,3,3,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,N1622,43.7619582699,-79.3238669393,318966.436,4846680.805
15,4520827,2019,2018,2023,TCHC,08,Eglinton-Lawrence,20 ZACHARY CRT,7,77,2023-06-29,94,94,0,45,3,3,N/A,N/A,3,3,3,3,N/A,3,N/A,3,3,3,3,3,2,2,3,3,2,N/A,2,3,3,2,3,2,3,3,3,3,3,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,0,3,N0823,,,308987.948,4842332.775
16,4154263,2017,1967,2023,PRIVATE,07,Humber River-Black Creek,25 STONG CRT,14,151,2023-10-26,92,92,0,44,3,3,3,N/A,3,3,3,2,3,2,N/A,N/A,3,2,3,3,3,N/A,3,2,N/A,N/A,3,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,W0725,43.7615247984,-79.5177662952,303354.08,4846617.84
17,4154733,2017,1974,2023,PRIVATE,15,Don Valley West,44 STUBBS DR,7,84,2023-07-13,91,91,0,49,3,3,3,2,3,2,2,3,3,2,N/A,3,3,3,3,3,2,3,3,3,2,3,3,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,N1522,43.7614984852,-79.3630422116,315812.209,4846623.819
18,4167680,2017,2006,2023,TCHC,13,Toronto Centre,259 SUMACH ST,3,47,2023-06-09,81,81,0,41,3,2,N/A,N/A,3,2,2,2,3,2,N/A,N/A,N/A,3,2,2,2,3,2,2,N/A,N/A,3,2,3,3,N/A,N/A,2,2,2,2,3,3,1,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,S1330,43.662405994,-79.360720129,316017.373,4835616.37
19,4167687,2017,1948,2023,TCHC,13,Toronto Centre,260 SUMACH ST,3,48,2023-06-09,81,81,0,41,3,2,N/A,N/A,3,2,2,2,3,2,N/A,N/A,N/A,3,2,2,2,3,2,2,N/A,N/A,3,2,3,3,N/A,N/A,2,2,2,2,3,3,1,1,2,3,1,3,3,3,3,3,3,3,3,3,3,3,S1330,43.66223715,-79.361553726,315950.172,4835597.5
20,4272882,2017,1952,2023,PRIVATE,11,University-Rosedale,468 SUMMERHILL AVE,3,34,2023-09-07,87,87,0,38,3,3,N/A,3,3,1,N/A,3,N/A,2,N/A,N/A,3,3,3,3,2,N/A,3,2,N/A,N/A,N/A,1,3,3,N/A,N/A,3,3,3,3,3,N/A,2,2,3,1,2,3,3,3,3,3,3,3,3,3,3,3,S1130,43.686670483,-79.374860081,314872.929,4838310.28
21,4155855,2017,2012,2023,PRIVATE,03,Etobicoke-Lakeshore,3 SUMMERLAND TER,26,283,2023-10-13,100,100,0,43,3,3,3,N/A,N/A,3,3,3,N/A,3,3,N/A,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0321,43.6431712607,-79.532364963,302151.067,4833473.587
22,4155752,2017,1950,2023,PRIVATE,03,Etobicoke-Lakeshore,1 SUPERIOR AVE,4,23,2023-08-24,79,79,0,41,3,3,2,N/A,3,3,2,2,2,2,N/A,N/A,3,3,3,2,2,N/A,3,2,N/A,N/A,N/A,2,3,N/A,3,2,2,2,2,2,3,N/A,2,2,2,3,3,3,2,3,2,1,1,1,1,1,1,1,W0336,43.6148862856,-79.4869596111,305836.877,4830327.051
23,4155487,2017,1965,2023,PRIVATE,03,Etobicoke-Lakeshore,2 SUPERIOR AVE,5,47,2023-08-24,88,88,0,42,3,3,2,N/A,2,3,3,3,2,2,N/A,3,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,2,3,N/A,3,2,3,3,3,3,3,N/A,3,2,3,3,3,3,3,3,2,1,1,1,1,1,1,1,W0336,43.6143308517,-79.4872977904,305809.589,4830265.341
24,4155749,2017,1950,2023,PRIVATE,03,Etobicoke-Lakeshore,3 SUPERIOR AVE,7,62,2023-07-16,91,91,0,44,3,3,3,3,3,3,2,3,2,2,3,N/A,3,3,3,3,3,N/A,3,3,2,N/A,N/A,2,3,N/A,3,2,2,2,2,2,3,N/A,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,W0336,43.6150903921,-79.4868989887,305841.767,4830349.727
25,4154869,2017,1960,2023,PRIVATE,16,Don Valley East,3 SWIFT DR,5,61,2023-08-12,83,83,0,43,3,3,2,2,3,1,2,2,3,2,N/A,N/A,3,3,2,2,2,N/A,2,2,3,N/A,N/A,2,3,N/A,3,2,3,2,3,2,3,N/A,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,N1628,43.7266882298,-79.3178088353,319462.82,4842763.595
26,4156122,2017,1970,2023,PRIVATE,17,Don Valley North,75 TALARA DR,4,66,2023-09-22,96,96,0,45,3,3,3,2,3,2,3,3,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,3,3,3,N/A,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1729,43.765752783,-79.380070251,314469.09,4847077.914
27,4152598,2017,1968,2023,PRIVATE,20,Scarborough Southwest,10 TEESDALE PL,24,285,2023-08-09,91,91,0,46,3,3,3,2,3,2,2,2,2,2,N/A,N/A,3,3,3,3,3,3,3,3,3,N/A,N/A,2,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,E2028,43.6965267454,-79.2862044067,322017.663,4839418.771
28,4152597,2017,1970,2023,PRIVATE,20,Scarborough Southwest,20 TEESDALE PL,24,284,2023-08-09,89,89,0,45,3,3,3,N/A,0,2,2,2,3,2,N/A,N/A,3,3,3,3,3,3,3,3,3,N/A,N/A,2,3,3,3,3,2,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,E2028,43.6959726218,-79.2874840709,321914.674,4839356.947
29,4153605,2017,1931,2023,PRIVATE,14,Toronto-Danforth,9 TENNIS CRES,4,54,2023-08-02,99,99,0,41,3,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,3,3,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,S1428,43.6726051315,-79.3542475992,316537.683,4836749.389
